title,platform,type,date_added,release_year,genres,minutes,seasons
Nailed It,Netflix,TV Show,2021-09-15,2021.0,['Reality TV'],,6
Naruto Shippuden the Movie: Blood Prison,Netflix,Movie,2021-09-15,2011.0,"['Action & Adventure', 'Anime Features', 'International Movies']",102,
Naruto Shippûden the Movie: Bonds,Netflix,Movie,2021-09-15,2008.0,"['Action & Adventure', 'Anime Features', 'International Movies']",93,
Naruto Shippûden the Movie: The Will of Fire,Netflix,Movie,2021-09-15,2009.0,"['Action & Adventure', 'Anime Features', 'International Movies']",96,
Naruto Shippuden: The Movie,Netflix,Movie,2021-09-15,2007.0,"['Action & Adventure', 'Anime Features', 'International Movies']",95,
Naruto Shippuden: The Movie: The Lost Tower,Netflix,Movie,2021-09-15,2010.0,"['Action & Adventure', 'Anime Features', 'International Movies']",85,
Naruto the Movie 2: Legend of the Stone of Gelel,Netflix,Movie,2021-09-15,2005.0,"['Action & Adventure', 'Anime Features', 'International Movies']",97,
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Netflix,Movie,2021-09-15,2006.0,"['Action & Adventure', 'Anime Features', 'International Movies']",95,
Naruto the Movie: Ninja Clash in the Land of Snow,Netflix,Movie,2021-09-15,2004.0,"['Action & Adventure', 'Anime Features', 'International Movies']",83,
Nightbooks,Netflix,Movie,2021-09-15,2021.0,['Children & Family Movies'],103,
Numberblocks,Netflix,TV Show,2021-09-15,2021.0,"[""Kids' TV""]",,6
Raja Rasoi Aur Anya Kahaniyan,Netflix,TV Show,2021-09-15,2014.0,"['Docuseries', 'International TV Shows']",,
Saved by the Bell,Netflix,TV Show,2021-09-15,1994.0,"[""Kids' TV"", 'TV Comedies']",,9
Schumacher,Netflix,Movie,2021-09-15,2021.0,"['Documentaries', 'International Movies', 'Sports Movies']",113,
Stories by Rabindranath Tagore,Netflix,TV Show,2021-09-15,2015.0,"['International TV Shows', 'TV Dramas']",,
Too Hot To Handle: Latino,Netflix,TV Show,2021-09-15,2021.0,"['International TV Shows', 'Reality TV', 'Romantic TV Shows']",,
A StoryBots Space Adventure,Netflix,Movie,2021-09-14,2021.0,['Children & Family Movies'],13,
Jack Whitehall: Travels with My Father,Netflix,TV Show,2021-09-14,2021.0,"['British TV Shows', 'Docuseries', 'International TV Shows']",,5
King of Boys,Netflix,Movie,2021-09-14,2018.0,"['Dramas', 'International Movies']",182,
The World's Most Amazing Vacation Rentals,Netflix,TV Show,2021-09-14,2021.0,['Reality TV'],,2
You vs. Wild: Out Cold,Netflix,Movie,2021-09-14,2021.0,['Children & Family Movies'],106,
Yowamushi Pedal,Netflix,TV Show,2021-09-14,2013.0,"['Anime Series', 'International TV Shows']",,
Little Singham - Black Shadow,Netflix,Movie,2021-09-11,2021.0,"['Children & Family Movies', 'Comedies']",48,
Tughlaq Durbar,Netflix,Movie,2021-09-11,2020.0,"['Comedies', 'Dramas', 'International Movies']",145,
Tughlaq Durbar (Telugu),Netflix,Movie,2021-09-11,2021.0,"['Comedies', 'Dramas', 'International Movies']",145,
Firedrake the Silver Dragon,Netflix,Movie,2021-09-10,2021.0,['Children & Family Movies'],93,
Kate,Netflix,Movie,2021-09-10,2021.0,['Action & Adventure'],106,
Lucifer,Netflix,TV Show,2021-09-10,2021.0,"['Crime TV Shows', 'TV Comedies', 'TV Dramas']",,6
Metal Shop Masters,Netflix,TV Show,2021-09-10,2021.0,['Reality TV'],,
Omo Ghetto: the Saga,Netflix,Movie,2021-09-10,2020.0,"['Action & Adventure', 'Comedies', 'Dramas']",147,
Pokémon Master Journeys: The Series,Netflix,TV Show,2021-09-10,2021.0,"['Anime Series', ""Kids' TV""]",,
Prey,both,Movie,2021-09-10,2021.0,"['International Movies', 'Thrillers']",87,2
Titipo Titipo,both,TV Show,2021-09-10,2019.0,"[""Kids' TV"", 'Korean TV Shows']",,2
Blood Brothers: Malcolm X & Muhammad Ali,Netflix,Movie,2021-09-09,2021.0,"['Documentaries', 'Sports Movies']",96,
Mighty Raju,Netflix,TV Show,2021-09-09,2017.0,"[""Kids' TV""]",,4
Paradise Hills,Netflix,Movie,2021-09-09,2019.0,"['Sci-Fi & Fantasy', 'Thrillers']",95,
The Women and the Murderer,Netflix,Movie,2021-09-09,2021.0,"['Documentaries', 'International Movies']",92,
Into the Night,Netflix,TV Show,2021-09-08,2021.0,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",,2
JJ+E,Netflix,Movie,2021-09-08,2021.0,"['Dramas', 'International Movies', 'Romantic Movies']",91,
Show Dogs,Netflix,Movie,2021-09-08,2018.0,"['Children & Family Movies', 'Comedies']",90,
The Circle,Netflix,TV Show,2021-09-08,2021.0,['Reality TV'],,3
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Netflix,Movie,2021-09-07,2018.0,"['Documentaries', 'Music & Musicals']",97,
Kid Cosmic,Netflix,TV Show,2021-09-07,2021.0,"[""Kids' TV"", 'TV Comedies', 'TV Sci-Fi & Fantasy']",,2
Octonauts: Above & Beyond,Netflix,TV Show,2021-09-07,2021.0,"['British TV Shows', ""Kids' TV""]",,
On the Verge,Netflix,TV Show,2021-09-07,2021.0,"['TV Comedies', 'TV Dramas']",,
Tobot Galaxy Detectives,Netflix,TV Show,2021-09-07,2019.0,"[""Kids' TV""]",,2
Untold: Breaking Point,Netflix,Movie,2021-09-07,2021.0,"['Documentaries', 'Sports Movies']",80,
Countdown: Inspiration4 Mission to Space,Netflix,TV Show,2021-09-06,2021.0,"['Docuseries', 'Science & Nature TV']",,
Shadow Parties,Netflix,Movie,2021-09-06,2020.0,"['Dramas', 'International Movies', 'Thrillers']",117,
Tayo the Little Bus,both,TV Show,2021-09-06,2016.0,"[""Kids' TV"", 'Korean TV Shows']",,2
Angamaly Diaries,Netflix,Movie,2021-09-05,2017.0,"['Action & Adventure', 'Comedies', 'Dramas']",128,
Bunk'd,Netflix,TV Show,2021-09-05,2021.0,"[""Kids' TV"", 'TV Comedies']",,5
A Champion Heart,Netflix,Movie,2021-09-04,2018.0,"['Children & Family Movies', 'Dramas']",90,
Dive Club,Netflix,TV Show,2021-09-03,2021.0,"[""Kids' TV"", 'TV Dramas', 'Teen TV Shows']",,
La casa de papel,Netflix,TV Show,2021-09-03,2021.0,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",,5
Money Heist: From Tokyo to Berlin,Netflix,TV Show,2021-09-03,2021.0,"['Docuseries', 'International TV Shows', 'Spanish-Language TV Shows']",,
Sharkdog,Netflix,TV Show,2021-09-03,2021.0,"[""Kids' TV""]",,
Worth,both,Movie,2021-09-03,2021.0,['Dramas'],119,
Afterlife of the Party,Netflix,Movie,2021-09-02,2021.0,"['Comedies', 'Romantic Movies']",110,
Anjaam,Netflix,Movie,2021-09-02,1994.0,"['Dramas', 'International Movies', 'Thrillers']",143,
Bright Star,Netflix,Movie,2021-09-02,2009.0,"['Dramas', 'Romantic Movies']",119,
Dhanak,Netflix,Movie,2021-09-02,2015.0,"['Comedies', 'Dramas', 'Independent Movies']",114,
Final Account,Netflix,Movie,2021-09-02,2021.0,['Documentaries'],94,
Gurgaon,both,Movie,2021-09-02,2017.0,"['Dramas', 'International Movies', 'Thrillers']",106,
Here and There,Netflix,Movie,2021-09-02,2020.0,"['Dramas', 'International Movies', 'Romantic Movies']",99,
Heroes of Goo Jit Zu,Netflix,TV Show,2021-09-02,2021.0,"[""Kids' TV"", 'TV Comedies']",,
Hotel Del Luna,Netflix,TV Show,2021-09-02,2019.0,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",,
In the Cut,Netflix,Movie,2021-09-02,2003.0,['Thrillers'],118,
Luv Kushh,Netflix,TV Show,2021-09-02,2012.0,"[""Kids' TV""]",,
Pororo - The Little Penguin,Netflix,TV Show,2021-09-02,2013.0,"[""Kids' TV"", 'Korean TV Shows']",,3
Q-Force,Netflix,TV Show,2021-09-02,2021.0,"['Crime TV Shows', 'TV Action & Adventure', 'TV Comedies']",,
