title,platform,type,date_added,release_year,genres,minutes,seasons
Lost in Space,Netflix,TV Show,2019-12-24,2019.0,"['TV Action & Adventure', 'TV Dramas', 'TV Sci-Fi & Fantasy']",,2
Jacob's Ladder,Netflix,Movie,2019-12-22,2019.0,['Thrillers'],90,
Private Practice,Netflix,TV Show,2019-12-22,2012.0,"['TV Comedies', 'TV Dramas']",,6
Back of the Net,Netflix,Movie,2019-12-21,2019.0,"['Children & Family Movies', 'Sports Movies']",86,
Lost in London,Netflix,Movie,2019-12-21,2017.0,"['Comedies', 'International Movies']",86,
Agent,Netflix,TV Show,2019-12-20,2019.0,"['International TV Shows', 'TV Dramas']",,
Being Mrs Elliot,Netflix,Movie,2019-12-20,2014.0,"['Dramas', 'International Movies', 'Romantic Movies']",113,
Falz Experience,Netflix,Movie,2019-12-20,2018.0,"['International Movies', 'Music & Musicals']",82,
Iyore,Netflix,Movie,2019-12-20,2015.0,"['Dramas', 'International Movies', 'Romantic Movies']",141,
The First Lady,Netflix,Movie,2019-12-20,2015.0,"['Dramas', 'International Movies']",107,
The Two Popes,Netflix,Movie,2019-12-20,2019.0,['Dramas'],126,
The Witcher,Netflix,TV Show,2019-12-20,2019.0,"['International TV Shows', 'TV Action & Adventure', 'TV Dramas']",,
After the Raid,Netflix,Movie,2019-12-19,2019.0,"['Documentaries', 'International Movies']",25,
Twice Upon A Time,Netflix,TV Show,2019-12-19,2019.0,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",,
Ultraviolet,Netflix,TV Show,2019-12-19,2019.0,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",,2
Don't F**k with Cats: Hunting an Internet Killer,Netflix,TV Show,2019-12-18,2019.0,"['Crime TV Shows', 'Docuseries']",,
Soundtrack,Netflix,TV Show,2019-12-18,2019.0,"['Romantic TV Shows', 'TV Dramas']",,
Ronny Chieng: Asian Comedian Destroys America!,Netflix,Movie,2019-12-17,2019.0,['Stand-Up Comedy'],63,
"Sincerely Yours, Dhaka",Netflix,Movie,2019-12-16,2018.0,"['Comedies', 'Dramas', 'Independent Movies']",136,
The Danish Girl,Netflix,Movie,2019-12-16,2015.0,"['Dramas', 'Independent Movies', 'International Movies']",120,
Bangistan,Netflix,Movie,2019-12-15,2015.0,"['Comedies', 'Dramas', 'International Movies']",134,
Cinderella and the Four Knights,Netflix,TV Show,2019-12-15,2016.0,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']",,
Cocomong,both,TV Show,2019-12-15,2015.0,"[""Kids' TV"", 'Korean TV Shows']",,2
Crash Landing on You,Netflix,TV Show,2019-12-15,2019.0,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']",,
"Crazy, Lovely, Cool",Netflix,TV Show,2019-12-15,2018.0,"['International TV Shows', 'TV Dramas']",,
Dil Chahta Hai,Netflix,Movie,2019-12-15,2001.0,"['Comedies', 'Dramas', 'International Movies']",185,
Dil Dhadakne Do,Netflix,Movie,2019-12-15,2015.0,"['Comedies', 'Dramas', 'International Movies']",174,
Don,both,Movie,2019-12-15,2006.0,"['Action & Adventure', 'International Movies']",169,
Don 2,Netflix,Movie,2019-12-15,2011.0,"['Action & Adventure', 'International Movies', 'Music & Musicals']",148,
Fukrey,both,Movie,2019-12-15,2013.0,"['Action & Adventure', 'Comedies', 'Dramas']",135,
Game,Netflix,Movie,2019-12-15,2011.0,"['International Movies', 'Thrillers']",135,
Girls und Panzer,Netflix,TV Show,2019-12-15,2012.0,"['Anime Series', 'International TV Shows']",,
Holy Expectations,Netflix,Movie,2019-12-15,2019.0,"['Children & Family Movies', 'Comedies', 'International Movies']",89,
Honeymoon Travels Pvt. Ltd.,Netflix,Movie,2019-12-15,2007.0,"['Comedies', 'Dramas', 'International Movies']",119,
Isoken,Netflix,Movie,2019-12-15,2017.0,"['Comedies', 'International Movies', 'Romantic Movies']",98,
Karthik Calling Karthik,Netflix,Movie,2019-12-15,2010.0,"['Dramas', 'International Movies', 'Thrillers']",135,
Lakshya,Netflix,Movie,2019-12-15,2004.0,"['Action & Adventure', 'Dramas', 'International Movies']",185,
Luck by Chance,Netflix,Movie,2019-12-15,2009.0,"['Dramas', 'International Movies', 'Romantic Movies']",156,
Potato Potahto,Netflix,Movie,2019-12-15,2017.0,"['Comedies', 'Dramas', 'International Movies']",104,
Rock On!!,Netflix,Movie,2019-12-15,2008.0,"['Dramas', 'International Movies', 'Music & Musicals']",139,
Scooby-Doo!: Mystery Incorporated,Netflix,TV Show,2019-12-15,2012.0,"[""Kids' TV"", 'TV Comedies']",,2
Talaash,Netflix,Movie,2019-12-15,2012.0,"['Dramas', 'International Movies', 'Thrillers']",140,
What's New Scooby-Doo?,Netflix,TV Show,2019-12-15,2005.0,"[""Kids' TV"", 'TV Comedies']",,3
Zindagi Na Milegi Dobara,Netflix,Movie,2019-12-15,2011.0,"['Comedies', 'Dramas', 'International Movies']",154,
6 Underground,Netflix,Movie,2019-12-13,2019.0,"['Action & Adventure', 'Dramas']",129,
A Trip to Jamaica,Netflix,Movie,2019-12-13,2016.0,"['Comedies', 'International Movies']",99,
My Wife and I,Netflix,Movie,2019-12-13,2017.0,"['Comedies', 'International Movies', 'Romantic Movies']",100,
Okafor's Law,Netflix,Movie,2019-12-13,2016.0,"['Comedies', 'International Movies', 'Romantic Movies']",110,
Seven and a half dates,Netflix,Movie,2019-12-13,2018.0,"['Dramas', 'International Movies', 'Romantic Movies']",107,
The 9th Precinct,Netflix,Movie,2019-12-13,2019.0,"['International Movies', 'Thrillers']",95,
Zero Hour,Netflix,Movie,2019-12-13,2018.0,"['International Movies', 'Thrillers']",89,
Jack Whitehall: Christmas with My Father,Netflix,Movie,2019-12-12,2019.0,['Stand-Up Comedy'],65,
The Sky Is Pink,Netflix,Movie,2019-12-11,2019.0,"['Dramas', 'International Movies']",143,
Good and Prosperous,Netflix,Movie,2019-12-10,2017.0,"['Comedies', 'International Movies']",101,
Michelle Wolf: Joke Show,Netflix,Movie,2019-12-10,2019.0,['Stand-Up Comedy'],60,
A Family Reunion Christmas,Netflix,Movie,2019-12-09,2019.0,"['Children & Family Movies', 'Comedies']",29,
It Comes at Night,Netflix,Movie,2019-12-09,2017.0,"['Horror Movies', 'Independent Movies']",92,
Saaho,Netflix,Movie,2019-12-08,2019.0,"['Action & Adventure', 'International Movies']",172,
Nothing to Lose 2,Netflix,Movie,2019-12-07,2019.0,"['Dramas', 'Faith & Spirituality', 'International Movies']",97,
Astronomy Club: The Sketch Show,Netflix,TV Show,2019-12-06,2019.0,['TV Comedies'],,
Banana Island Ghost,Netflix,Movie,2019-12-06,2017.0,"['Comedies', 'International Movies']",108,
Celebrity Marriage,Netflix,Movie,2019-12-06,2017.0,"['Dramas', 'International Movies']",107,
Fuller House,Netflix,TV Show,2019-12-06,2020.0,['TV Comedies'],,5
Marriage Story,Netflix,Movie,2019-12-06,2019.0,['Dramas'],137,
No Game No Life: Zero,Netflix,Movie,2019-12-06,2017.0,"['Action & Adventure', 'Anime Features', 'International Movies']",106,
Slow Country,Netflix,Movie,2019-12-06,2017.0,"['Dramas', 'International Movies']",115,
Spirit Riding Free: Spirit of Christmas,Netflix,Movie,2019-12-06,2019.0,['Children & Family Movies'],46,
Teasing Master Takagi-san,Netflix,TV Show,2019-12-06,2019.0,"['Anime Series', 'International TV Shows', 'Romantic TV Shows']",,
The Chosen One,Netflix,TV Show,2019-12-06,2019.0,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",,2
The Confession Killer,Netflix,TV Show,2019-12-06,2019.0,"['Crime TV Shows', 'Docuseries']",,
Three Days of Christmas,Netflix,TV Show,2019-12-06,2019.0,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",,
Triad Princess,Netflix,TV Show,2019-12-06,2019.0,"['Crime TV Shows', 'International TV Shows', 'Romantic TV Shows']",,
Wives on Strike,Netflix,Movie,2019-12-06,2016.0,"['Comedies', 'Dramas', 'International Movies']",92,
Wives on Strike: The Revolution,Netflix,Movie,2019-12-06,2017.0,"['Comedies', 'Dramas', 'International Movies']",93,
A Christmas Prince: The Royal Baby,Netflix,Movie,2019-12-05,2019.0,"['Children & Family Movies', 'Dramas', 'Romantic Movies']",85,
The Irishman: In Conversation,Netflix,Movie,2019-12-05,2019.0,['Documentaries'],24,
V Wars,Netflix,TV Show,2019-12-05,2019.0,"['TV Action & Adventure', 'TV Dramas', 'TV Horror']",,
The Last O.G.,Netflix,TV Show,2019-12-04,2019.0,['TV Comedies'],,2
The Prince of Tennis ~ Match! Tennis Juniors ~,Netflix,TV Show,2019-12-04,2019.0,"['International TV Shows', 'TV Dramas', 'Teen TV Shows']",,
The Road to Love,Netflix,TV Show,2019-12-04,2019.0,"['International TV Shows', 'Romantic TV Shows', 'Spanish-Language TV Shows']",,
Tiffany Haddish: Black Mitzvah,Netflix,Movie,2019-12-03,2019.0,['Stand-Up Comedy'],56,
Nightflyers,Netflix,TV Show,2019-12-02,2018.0,"['TV Horror', 'TV Mysteries', 'TV Sci-Fi & Fantasy']",,
A Cinderella Story: Christmas Wish,Netflix,Movie,2019-12-01,2019.0,"['Children & Family Movies', 'Comedies', 'Music & Musicals']",86,
Baby Dolls,Netflix,Movie,2019-12-01,2019.0,"['Comedies', 'International Movies', 'Romantic Movies']",127,
Cut Bank,Netflix,Movie,2019-12-01,2014.0,"['Dramas', 'Thrillers']",93,
Dead Kids,Netflix,Movie,2019-12-01,2019.0,"['Dramas', 'International Movies', 'Thrillers']",94,
Eastsiders,Netflix,TV Show,2019-12-01,2018.0,"['TV Comedies', 'TV Dramas']",,4
High End Yaariyan,Netflix,Movie,2019-12-01,2019.0,"['Comedies', 'International Movies', 'Romantic Movies']",120,
Iron Fists and Kung-Fu Kicks,Netflix,Movie,2019-12-01,2019.0,"['Documentaries', 'International Movies']",108,
Jindua,Netflix,Movie,2019-12-01,2017.0,"['Dramas', 'International Movies', 'Romantic Movies']",135,
Lakeeran,Netflix,Movie,2019-12-01,2016.0,"['Dramas', 'International Movies', 'Romantic Movies']",111,
Mahi NRI,Netflix,Movie,2019-12-01,2017.0,"['Comedies', 'Dramas', 'International Movies']",134,
Qismat,Netflix,Movie,2019-12-01,2018.0,"['Dramas', 'International Movies', 'Romantic Movies']",137,
Space Jungle,Netflix,TV Show,2019-12-01,2016.0,"[""Kids' TV"", 'Korean TV Shows', 'TV Comedies']",,2
Tee Shot: Ariya Jutanugarn,Netflix,Movie,2019-12-01,2019.0,"['Children & Family Movies', 'Dramas', 'International Movies']",103,
Thug Life,Netflix,Movie,2019-12-01,2017.0,"['Comedies', 'Dramas', 'International Movies']",133,
Wandering Stars,Netflix,Movie,2019-12-01,2019.0,"['Documentaries', 'International Movies', 'Music & Musicals']",95,
Why Me?,Netflix,Movie,2019-12-01,2015.0,"['Dramas', 'International Movies', 'Thrillers']",126,
Chocolate,Netflix,TV Show,2019-11-30,2019.0,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']",,
Guatemala: Heart of the Mayan World,Netflix,Movie,2019-11-30,2019.0,"['Documentaries', 'International Movies']",67,
The Zoya Factor,Netflix,Movie,2019-11-30,2019.0,"['Comedies', 'Dramas', 'International Movies']",135,
Atlantics,Netflix,Movie,2019-11-29,2019.0,"['Dramas', 'Independent Movies', 'International Movies']",106,
Chip and Potato,Netflix,TV Show,2019-11-29,2019.0,"[""Kids' TV""]",,2
Crazy people,Netflix,Movie,2019-11-29,2018.0,"['Comedies', 'International Movies', 'Thrillers']",107,
I Lost My Body,Netflix,Movie,2019-11-29,2019.0,"['Dramas', 'Independent Movies', 'International Movies']",81,
Kalushi: The Story of Solomon Mahlangu,Netflix,Movie,2019-11-29,2016.0,"['Dramas', 'International Movies']",107,
La Reina del Sur,Netflix,TV Show,2019-11-29,2019.0,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",,2
Lagos Real Fake Life,Netflix,Movie,2019-11-29,2018.0,"['Comedies', 'International Movies']",118,
Payday,Netflix,Movie,2019-11-29,2018.0,"['Comedies', 'Independent Movies', 'International Movies']",110,
The Accidental Spy,Netflix,Movie,2019-11-29,2017.0,"['Action & Adventure', 'Comedies', 'International Movies']",104,
The Charming Stepmom,Netflix,TV Show,2019-11-29,2019.0,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",,
The Island,Netflix,Movie,2019-11-29,2018.0,"['Dramas', 'International Movies', 'Thrillers']",93,
Holiday Rush,Netflix,Movie,2019-11-28,2019.0,"['Children & Family Movies', 'Dramas']",94,
Levius,Netflix,TV Show,2019-11-28,2019.0,"['Anime Series', 'International TV Shows']",,
Lugar de Mulher,Netflix,TV Show,2019-11-28,2019.0,"['International TV Shows', 'Stand-Up Comedy & Talk Shows', 'TV Comedies']",,
Merry Happy Whatever,Netflix,TV Show,2019-11-28,2019.0,['TV Comedies'],,
Mythomaniac,Netflix,TV Show,2019-11-28,2019.0,"['International TV Shows', 'TV Comedies', 'TV Dramas']",,
Defiance,Netflix,Movie,2019-11-27,2008.0,"['Action & Adventure', 'Dramas']",137,
Evvarikee Cheppoddu,Netflix,Movie,2019-11-27,2019.0,"['Comedies', 'International Movies', 'Romantic Movies']",134,
Little Singham: Mahabali,Netflix,Movie,2019-11-27,2019.0,"['Children & Family Movies', 'Comedies']",69,
The Body Remembers When the World Broke Open,Netflix,Movie,2019-11-27,2019.0,"['Dramas', 'Independent Movies']",106,
The Irishman,Netflix,Movie,2019-11-27,2019.0,['Dramas'],209,
Mike Birbiglia: The New One,Netflix,Movie,2019-11-26,2019.0,['Stand-Up Comedy'],86,
Super Monsters Save Christmas,Netflix,Movie,2019-11-26,2019.0,['Children & Family Movies'],24,
The Crime,Netflix,TV Show,2019-11-26,2015.0,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",,2
True: Winter Wishes,Netflix,Movie,2019-11-26,2019.0,['Children & Family Movies'],46,
Zona Rosa,Netflix,TV Show,2019-11-26,2019.0,"['International TV Shows', 'Spanish-Language TV Shows', 'Stand-Up Comedy & Talk Shows']",,
Pranaam,Netflix,Movie,2019-11-25,2019.0,"['Action & Adventure', 'Dramas', 'International Movies']",117,
What the F* Is Going On?,Netflix,Movie,2019-11-25,2019.0,"['Documentaries', 'International Movies']",87,
Shot Caller,Netflix,Movie,2019-11-24,2017.0,"['Dramas', 'Thrillers']",121,
Once Upon A Time In Lingjian Mountain,Netflix,TV Show,2019-11-23,2019.0,"['International TV Shows', 'TV Comedies', 'TV Sci-Fi & Fantasy']",,
Brother,Netflix,Movie,2019-11-22,2019.0,"['Dramas', 'Independent Movies', 'International Movies']",97,
Dolly Parton's Heartstrings,Netflix,TV Show,2019-11-22,2019.0,['TV Dramas'],,
Girls und Panzer der Film,Netflix,Movie,2019-11-22,2015.0,"['Action & Adventure', 'Anime Features', 'International Movies']",121,
Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,Netflix,Movie,2019-11-22,2008.0,['Stand-Up Comedy'],56,
Nailed It! Holiday!,Netflix,TV Show,2019-11-22,2019.0,['Reality TV'],,2
Narcoworld: Dope Stories,Netflix,TV Show,2019-11-22,2019.0,"['Crime TV Shows', 'Docuseries']",,
Nobody's Looking,Netflix,TV Show,2019-11-22,2019.0,"['International TV Shows', 'TV Comedies', 'TV Dramas']",,
Shelby American,Netflix,Movie,2019-11-22,2019.0,"['Documentaries', 'Sports Movies']",119,
Singapore Social,Netflix,TV Show,2019-11-22,2019.0,"['International TV Shows', 'Reality TV']",,
The Dragon Prince,Netflix,TV Show,2019-11-22,2019.0,"[""Kids' TV"", 'TV Action & Adventure', 'TV Sci-Fi & Fantasy']",,3
Trolls: The Beat Goes On!,Netflix,TV Show,2019-11-22,2019.0,"[""Kids' TV"", 'TV Comedies']",,8
The Knight Before Christmas,Netflix,Movie,2019-11-21,2019.0,"['Children & Family Movies', 'Comedies', 'Romantic Movies']",93,
Bangkok Buddies,Netflix,TV Show,2019-11-20,2019.0,"['International TV Shows', 'TV Comedies', 'TV Dramas']",,
"Bikram: Yogi, Guru, Predator",Netflix,Movie,2019-11-20,2019.0,['Documentaries'],86,
Dorasaani,Netflix,Movie,2019-11-20,2019.0,"['Dramas', 'International Movies', 'Romantic Movies']",134,
Holiday Secrets,Netflix,TV Show,2019-11-20,2019.0,"['International TV Shows', 'TV Dramas']",,
"Lorena, Light-Footed Woman",Netflix,Movie,2019-11-20,2019.0,"['Documentaries', 'International Movies', 'Sports Movies']",28,
Mallesham,Netflix,Movie,2019-11-20,2019.0,"['Dramas', 'Independent Movies', 'International Movies']",131,
Who Killed Little Gregory?,Netflix,TV Show,2019-11-20,2019.0,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",,
Iliza Shlesinger: Unveiled,Netflix,Movie,2019-11-19,2019.0,['Stand-Up Comedy'],78,
Miss Culinary,Netflix,TV Show,2019-11-19,2019.0,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",,
Candy Online,Netflix,TV Show,2019-11-17,2019.0,"['International TV Shows', 'TV Dramas', 'Teen TV Shows']",,
Iron Sky: The Coming Race,Netflix,Movie,2019-11-16,2019.0,"['Action & Adventure', 'Comedies', 'International Movies']",93,
Jeff Dunham: All Over the Map,Netflix,Movie,2019-11-16,2014.0,['Stand-Up Comedy'],84,
Suffragette,Netflix,Movie,2019-11-16,2015.0,"['Dramas', 'International Movies']",107,
The Green Inferno,Netflix,Movie,2019-11-16,2013.0,"['Horror Movies', 'Independent Movies']",101,
At the Dolphin Bay,Netflix,TV Show,2019-11-15,2003.0,"['International TV Shows', 'Romantic TV Shows']",,
Earthquake Bird,Netflix,Movie,2019-11-15,2019.0,"['Dramas', 'Romantic Movies']",107,
El sendero de la anaconda,Netflix,Movie,2019-11-15,2019.0,"['Documentaries', 'International Movies']",74,
GO! The Unforgettable Party,Netflix,Movie,2019-11-15,2019.0,"['Children & Family Movies', 'Music & Musicals']",60,
Guna 369,Netflix,Movie,2019-11-15,2019.0,"['Action & Adventure', 'Dramas', 'International Movies']",143,
House Arrest,both,Movie,2019-11-15,2019.0,"['Comedies', 'Independent Movies', 'International Movies']",105,
I'm with the Band: Nasty Cherry,Netflix,TV Show,2019-11-15,2019.0,['Reality TV'],,
Inheritors,Netflix,TV Show,2019-11-15,2013.0,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']",,
K-On!,Netflix,TV Show,2019-11-15,2010.0,"['Anime Series', 'Teen TV Shows']",,2
K-on! the movie,Netflix,Movie,2019-11-15,2011.0,"['Anime Features', 'Music & Musicals']",110,
Klaus,Netflix,Movie,2019-11-15,2019.0,"['Children & Family Movies', 'Comedies']",98,
La Robe De Mariee Des Cieux,Netflix,TV Show,2019-11-15,2004.0,"['International TV Shows', 'Romantic TV Shows']",,
Llama Llama,Netflix,TV Show,2019-11-15,2019.0,"[""Kids' TV""]",,2
My MVP Valentine,Netflix,TV Show,2019-11-15,2002.0,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",,
My Sassy Girl,Netflix,TV Show,2019-11-15,2017.0,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']",,
SunGanges,Netflix,Movie,2019-11-15,2018.0,"['Documentaries', 'International Movies']",74,
The Club,Netflix,TV Show,2019-11-15,2019.0,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",,
The Garden of Words,Netflix,Movie,2019-11-15,2013.0,"['Anime Features', 'International Movies', 'Romantic Movies']",46,
The Stranded,Netflix,TV Show,2019-11-15,2019.0,"['International TV Shows', 'TV Action & Adventure', 'TV Dramas']",,
The Toys That Made Us,Netflix,TV Show,2019-11-15,2019.0,"['Docuseries', 'Reality TV']",,3
The Yard,Netflix,TV Show,2019-11-15,2019.0,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",,2
Westside Story,Netflix,TV Show,2019-11-15,2003.0,"['International TV Shows', 'Romantic TV Shows', 'TV Action & Adventure']",,
Fadily Camara : La plus drôle de tes copines,Netflix,Movie,2019-11-14,2019.0,['Stand-Up Comedy'],54,
My Dear Warrior,Netflix,TV Show,2019-11-14,2019.0,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",,
Maradona in Mexico,Netflix,TV Show,2019-11-13,2020.0,"['Docuseries', 'Spanish-Language TV Shows']",,
Chief of Staff,Netflix,TV Show,2019-11-12,2019.0,"['International TV Shows', 'Korean TV Shows', 'TV Dramas']",,2
Jeff Garlin: Our Man In Chicago,Netflix,Movie,2019-11-12,2019.0,['Stand-Up Comedy'],59,
A Single Man,Netflix,Movie,2019-11-11,2009.0,"['Dramas', 'Independent Movies', 'LGBTQ Movies']",100,
Put Your Head on My Shoulder,Netflix,TV Show,2019-11-11,2019.0,"['International TV Shows', 'Romantic TV Shows', 'Teen TV Shows']",,
To Be of Service,Netflix,Movie,2019-11-11,2019.0,['Documentaries'],88,
Little Things,Netflix,TV Show,2019-11-09,2019.0,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",,3
Greatest Events of WWII in Colour,Netflix,TV Show,2019-11-08,2019.0,"['British TV Shows', 'Docuseries', 'International TV Shows']",,
Green Eggs and Ham,Netflix,TV Show,2019-11-08,2019.0,"[""Kids' TV"", 'TV Action & Adventure', 'TV Comedies']",,
Let It Snow,Netflix,Movie,2019-11-08,2019.0,"['Comedies', 'Dramas', 'LGBTQ Movies']",93,
Paradise Beach,Netflix,Movie,2019-11-08,2019.0,"['Action & Adventure', 'Dramas', 'International Movies']",94,
Wild District,Netflix,TV Show,2019-11-08,2019.0,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",,2
U Turn,Netflix,Movie,2019-11-07,2016.0,"['International Movies', 'Thrillers']",121,
Burning Cane,Netflix,Movie,2019-11-06,2019.0,['Dramas'],78,
SCAMS,Netflix,TV Show,2019-11-06,2019.0,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",,
Shadow,Netflix,Movie,2019-11-06,2018.0,"['Action & Adventure', 'Dramas', 'International Movies']",116,
Luccas Neto in: Summer Camp,Netflix,Movie,2019-11-05,2019.0,"['Children & Family Movies', 'Comedies', 'Music & Musicals']",87,
Sam & Cat,Netflix,TV Show,2019-11-05,2014.0,"[""Kids' TV"", 'TV Comedies']",,2
Seth Meyers: Lobby Baby,Netflix,Movie,2019-11-05,2019.0,['Stand-Up Comedy'],61,
The End of the F***ing World,Netflix,TV Show,2019-11-05,2019.0,"['British TV Shows', 'International TV Shows', 'TV Comedies']",,2
The Lovers,Netflix,Movie,2019-11-05,2017.0,"['Comedies', 'Dramas', 'Independent Movies']",98,
Tune in for Love,Netflix,Movie,2019-11-05,2019.0,"['Dramas', 'International Movies', 'Romantic Movies']",123,
Undercover Brother 2,Netflix,Movie,2019-11-05,2019.0,['Comedies'],85,
Meet the Adebanjos,Netflix,TV Show,2019-11-04,2016.0,"['British TV Shows', 'International TV Shows', 'TV Comedies']",,3
Minimalism: A Documentary About the Important Things,Netflix,Movie,2019-11-04,2016.0,['Documentaries'],78,
Oththa Seruppu Size 7,Netflix,Movie,2019-11-04,2019.0,"['Dramas', 'International Movies', 'Thrillers']",103,
The Devil Next Door,Netflix,TV Show,2019-11-04,2019.0,"['Crime TV Shows', 'Docuseries']",,
100 Things to do Before High School,Netflix,Movie,2019-11-02,2014.0,['Movies'],44,
A Fairly Odd Summer,Netflix,Movie,2019-11-02,2014.0,"['Children & Family Movies', 'Comedies']",68,
Bella and the Bulldogs,Netflix,TV Show,2019-11-02,2015.0,"[""Kids' TV"", 'TV Comedies']",,
Big Time Movie,Netflix,Movie,2019-11-02,2012.0,"['Children & Family Movies', 'Comedies', 'Music & Musicals']",68,
Escape from Mr. Lemoncello’s Library,Netflix,Movie,2019-11-02,2017.0,['Children & Family Movies'],69,
Hey Arnold! The Jungle Movie,Netflix,Movie,2019-11-02,2017.0,"['Children & Family Movies', 'Comedies']",81,
Jinxed,Netflix,Movie,2019-11-02,2013.0,"['Children & Family Movies', 'Comedies']",69,
LEGENDS OF THE HIDDEN TEMPLE,Netflix,Movie,2019-11-02,2016.0,['Children & Family Movies'],68,
"Liar, Liar, Vampire",Netflix,Movie,2019-11-02,2015.0,"['Children & Family Movies', 'Comedies']",68,
The Boy Who Cried Werewolf,Netflix,Movie,2019-11-02,2010.0,"['Children & Family Movies', 'Comedies']",86,
The Massively Mixed-Up Middle School Mystery,Netflix,Movie,2019-11-02,2015.0,"['Children & Family Movies', 'Comedies']",40,
Victorious,Netflix,TV Show,2019-11-02,2013.0,"[""Kids' TV"", 'TV Comedies']",,3
A Remarkable Tale,Netflix,Movie,2019-11-01,2019.0,"['Comedies', 'International Movies']",94,
A Year In Space,Netflix,TV Show,2019-11-01,2015.0,"['Docuseries', 'International TV Shows', 'Science & Nature TV']",,
Ad Vitam,Netflix,TV Show,2019-11-01,2018.0,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",,
American Son,Netflix,Movie,2019-11-01,2019.0,['Dramas'],90,
Billy on the Street,Netflix,TV Show,2019-11-01,2016.0,"['International TV Shows', 'Reality TV', 'TV Comedies']",,4
Christmas in the Heartland,Netflix,Movie,2019-11-01,2017.0,['Dramas'],112,
Christmas Survival,Netflix,Movie,2019-11-01,2018.0,['Comedies'],101,
CLANNAD,Netflix,TV Show,2019-11-01,2008.0,"['Anime Series', 'Teen TV Shows']",,2
Drive,Netflix,Movie,2019-11-01,2019.0,"['Action & Adventure', 'International Movies']",119,
Fire in Paradise,Netflix,Movie,2019-11-01,2019.0,['Documentaries'],40,
Haikyu!!,Netflix,TV Show,2019-11-01,2015.0,"['Anime Series', 'International TV Shows', 'Teen TV Shows']",,2
Holiday in the Wild,Netflix,Movie,2019-11-01,2019.0,"['Children & Family Movies', 'Dramas', 'Romantic Movies']",86,
Holly Star,Netflix,Movie,2019-11-01,2018.0,"['Children & Family Movies', 'Comedies', 'Romantic Movies']",92,
"Love, Chunibyo & Other Delusions!",Netflix,TV Show,2019-11-01,2014.0,"['Anime Series', 'Romantic TV Shows', 'Teen TV Shows']",,2
Maid-Sama!,Netflix,TV Show,2019-11-01,2010.0,"['Anime Series', 'Romantic TV Shows']",,
Mobile Suit Gundam: Iron-Blooded Orphans,Netflix,TV Show,2019-11-01,2016.0,"['Anime Series', 'International TV Shows']",,2
Queer Eye: We're in Japan!,Netflix,TV Show,2019-11-01,2019.0,"['International TV Shows', 'Reality TV']",,
Santa Girl,Netflix,Movie,2019-11-01,2019.0,"['Children & Family Movies', 'Comedies', 'Romantic Movies']",91,
The Boulet Brothers Dragula,Netflix,TV Show,2019-11-01,2019.0,['Reality TV'],,2
The Deep,both,TV Show,2019-11-01,2019.0,"[""Kids' TV""]",,3
The House of Flowers Presents: The Funeral,Netflix,Movie,2019-11-01,2019.0,['Movies'],36,
The King,Netflix,Movie,2019-11-01,2019.0,['Dramas'],141,
The Man Without Gravity,Netflix,Movie,2019-11-01,2019.0,"['Dramas', 'International Movies']",107,
The Old Thieves: The Legend of Artegios,Netflix,Movie,2019-11-01,2007.0,"['Documentaries', 'International Movies']",97,
True: Grabbleapple Harvest,Netflix,Movie,2019-11-01,2019.0,['Children & Family Movies'],24,
Vientos de agua,Netflix,TV Show,2019-11-01,2006.0,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",,
We Are the Wave,Netflix,TV Show,2019-11-01,2019.0,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",,
Zoé: Panoramas,Netflix,Movie,2019-11-01,2016.0,"['Documentaries', 'International Movies', 'Music & Musicals']",89,
Grego Rossello: Disculpe las molestias,Netflix,Movie,2019-10-31,2019.0,['Stand-Up Comedy'],65,
KENGAN ASHURA,Netflix,TV Show,2019-10-31,2019.0,"['Anime Series', 'International TV Shows']",,2
